_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa07627ff2,Anuel AA,Secreto,0.807,0.803,-4.156,0.126,0.602,0.00853,0.136,0.706,91.987
6757c5642c5d5bfa07627fa4,Shawn Mendes,Señorita,0.759,0.548,-6.049,0.029,0.0392,0,0.0828,0.749,116.967
6757c5642c5d5bfa07627c49,Tinie Tempah,Pass Out,0.693,0.891,-3.261,0.296,0.0281,0,0.143,0.532,91.1
6757c5642c5d5bfa07627ce9,Sean Paul,She Doesn't Mind,0.718,0.776,-5.208,0.0693,0.000624,0.0000053,0.207,0.622,120.015
6757c5642c5d5bfa07627f01,Kendrick Lamar,HUMBLE.,0.906,0.625,-6.779,0.0903,0.000243,0.0000323,0.0975,0.423,150.018
6757c5642c5d5bfa07627c86,Bruno Mars,Grenade,0.704,0.558,-7.273,0.0542,0.148,0,0.107,0.245,110.444
6757c5642c5d5bfa07627d84,Storm Queen,Look Right Through - MK Vocal Edit,0.832,0.815,-8.035,0.081,0.00304,0.00553,0.263,0.519,119.995
6757c5642c5d5bfa07627c6d,Kesha,Your Love Is My Drug,0.826,0.612,-3.891,0.0982,0.00681,0,0.0889,0.756,120.057
6757c5642c5d5bfa07627e15,Justin Bieber,What Do You Mean?,0.845,0.567,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02
6757c5642c5d5bfa0762792c,LL Cool J,Luv U Better,0.668,0.806,-3.9,0.239,0.232,0,0.18,0.721,95.022
