_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa07627836,Britney Spears,Oops!...I Did It Again,0.751,0.834,-5.444,0.0437,0.3,0.0000177,0.355,0.894,95.053
6757c5642c5d5bfa07627837,blink-182,All The Small Things,0.434,0.897,-4.918,0.0488,0.0103,0,0.612,0.684,148.726
6757c5642c5d5bfa07627838,Faith Hill,Breathe,0.529,0.496,-9.007,0.029,0.173,0,0.251,0.278,136.859
6757c5642c5d5bfa07627839,Bon Jovi,It's My Life,0.551,0.913,-4.063,0.0466,0.0263,0.0000135,0.347,0.544,119.992
6757c5642c5d5bfa0762783a,*NSYNC,Bye Bye Bye,0.614,0.928,-4.806,0.0516,0.0408,0.00104,0.0845,0.879,172.656
6757c5642c5d5bfa0762783b,Sisqo,Thong Song,0.706,0.888,-6.959,0.0654,0.119,0.0000964,0.07,0.714,121.549
6757c5642c5d5bfa0762783c,Eminem,The Real Slim Shady,0.949,0.661,-4.244,0.0572,0.0302,0,0.0454,0.76,104.504
6757c5642c5d5bfa0762783d,Robbie Williams,Rock DJ,0.708,0.772,-4.264,0.0322,0.0267,0,0.467,0.861,103.035
6757c5642c5d5bfa0762783e,Destiny's Child,Say My Name,0.713,0.678,-3.525,0.102,0.273,0,0.149,0.734,138.009
6757c5642c5d5bfa0762783f,Modjo,Lady - Hear Me Tonight,0.72,0.808,-5.627,0.0379,0.00793,0.0293,0.0634,0.869,126.041
6757c5642c5d5bfa07627840,Gigi D'Agostino,L'Amour Toujours,0.617,0.728,-7.932,0.0292,0.0328,0.0482,0.36,0.808,139.066
6757c5642c5d5bfa07627841,Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,0.745,0.958,-9.664,0.0287,0.0813,0.324,0.533,0.96,129.962
6757c5642c5d5bfa07627842,Bomfunk MC's,Freestyler,0.822,0.922,-5.798,0.0989,0.0291,0.325,0.252,0.568,163.826
6757c5642c5d5bfa07627843,Sting,Desert Rose,0.586,0.659,-7.92,0.0304,0.011,0,0.106,0.147,111.989
6757c5642c5d5bfa07627844,Melanie C,Never Be The Same Again,0.689,0.685,-5.153,0.0478,0.0921,0,0.119,0.398,160.067
6757c5642c5d5bfa07627845,Aaliyah,Try Again,0.797,0.622,-5.642,0.29,0.0807,0,0.0841,0.731,93.02
6757c5642c5d5bfa07627846,Anastacia,I'm Outta Love - Radio Edit,0.761,0.716,-5.8,0.056,0.396,0,0.0771,0.649,119.41
