_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa076279cc,Daddy Yankee,Gasolina,0.857,0.801,-6.499,0.0618,0.332,0.0000012,0.0789,0.753,96.009
6757c5642c5d5bfa076278fb,Ginuwine,Differences,0.562,0.594,-4.578,0.0558,0.318,0,0.311,0.423,62.876
6757c5642c5d5bfa07627dc7,Jason Derulo,Wiggle (feat. Snoop Dogg),0.697,0.621,-6.886,0.25,0.0802,0,0.162,0.721,81.946
6757c5642c5d5bfa07627ca9,Coldplay,Paradise,0.449,0.585,-6.761,0.0268,0.0509,0.0000875,0.0833,0.212,139.631
6757c5642c5d5bfa07627cf3,Flo Rida,Whistle,0.747,0.937,-5.746,0.0453,0.0208,0,0.29,0.739,103.976
6757c5642c5d5bfa07627f1b,Cardi B,Bodak Yellow,0.929,0.723,-5.792,0.109,0.0672,0,0.346,0.458,125.022
6757c5642c5d5bfa076278d4,Jagged Edge,Where the Party At (feat. Nelly),0.596,0.661,-6.239,0.226,0.31,0,0.0847,0.86,129.491
6757c5642c5d5bfa07627bd8,Lady Gaga,Bad Romance,0.696,0.921,-3.755,0.0363,0.00314,0.0000524,0.0842,0.714,119.001
6757c5642c5d5bfa07627b66,Kanye West,Flashing Lights,0.639,0.628,-7.578,0.0399,0.0381,0,0.386,0.43,90.482
6757c5642c5d5bfa076279da,Jay Sean,Eyes On You - Radio Mix,0.802,0.672,-4.971,0.0847,0.0775,0,0.136,0.619,96.525
6757c5642c5d5bfa07627dea,Duke Dumont,I Got U,0.636,0.761,-7.752,0.035,0.00377,0.00784,0.0851,0.463,120.837
6757c5642c5d5bfa076278fa,3LW,No More (Baby I'ma Do Right),0.721,0.723,-7.08,0.0631,0.102,0.0000044,0.0651,0.761,88.933
6757c5642c5d5bfa07627ded,MKTO,Classic,0.72,0.791,-4.689,0.124,0.0384,0,0.157,0.756,102.071
6757c5642c5d5bfa07627c0a,OneRepublic,Secrets,0.516,0.764,-6.223,0.0366,0.0717,0,0.115,0.376,148.021
6757c5642c5d5bfa07627dfc,G.R.L.,Ugly Heart,0.65,0.786,-5.488,0.0463,0.019,0,0.323,0.446,124.96
6757c5642c5d5bfa07627e30,Sam Smith,Like I Can,0.656,0.627,-6.627,0.0379,0.343,0.0000217,0.124,0.481,99.933
6757c5642c5d5bfa07627945,Ronan Keating,If Tomorrow Never Comes,0.555,0.496,-6.136,0.028,0.333,0,0.0956,0.27,79.01
6757c5642c5d5bfa07627acd,Keyshia Cole,Love,0.688,0.519,-4.285,0.0283,0.064,0,0.1,0.318,116.714
6757c5642c5d5bfa0762799c,Christina Aguilera,Fighter,0.435,0.92,-1.357,0.201,0.235,0.000353,0.552,0.45,188.899
6757c5642c5d5bfa07627a71,Kelly Clarkson,Behind These Hazel Eyes,0.548,0.889,-4.682,0.0382,0.00165,0.00109,0.197,0.425,90.048
6757c5642c5d5bfa07627f73,XXXTENTACION,changes,0.669,0.308,-10.068,0.029,0.883,0,0.0984,0.52,64.934
6757c5642c5d5bfa07627f78,David Guetta,Flames,0.631,0.649,-5.892,0.0385,0.0817,0.0000038,0.0934,0.421,93.95
6757c5642c5d5bfa07627d0d,James Arthur,Impossible,0.376,0.695,-4.782,0.0933,0.135,0,0.11,0.302,169.533
6757c5642c5d5bfa07627d0f,Otto Knows,Million Voices - Radio Edit,0.582,0.894,-6.298,0.041,0.0022,0.0223,0.0664,0.0694,125.946
6757c5642c5d5bfa0762798a,Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",0.811,0.657,-6.197,0.362,0.0391,0.712,0.0798,0.777,199.958
6757c5642c5d5bfa0762787b,Santana,Maria Maria (feat. The Product G&B),0.777,0.601,-5.931,0.126,0.0406,0.00201,0.0348,0.68,97.911
6757c5642c5d5bfa07627de7,Enrique Iglesias,Bailando - Spanish Version,0.718,0.792,-3.519,0.105,0.0467,0.00000365,0.0399,0.96,90.949
6757c5642c5d5bfa07627e9d,Shawn Mendes,I Know What You Did Last Summer,0.687,0.761,-4.582,0.0876,0.102,0,0.147,0.743,113.939
